,timestamp_local,ts_iso,event_name,bug_type,product,device_guess,os_version,incident_id,bundleId,installType,isSystemApp,usageClientId,largestProcess,src_file,excerpt
13,2025-06-12 11:25:11+07:00,2025-06-12 11:25:11+0700,bug_type_event,298,"iPhone16,1",iPhone 15 Pro (guess),iPhone OS 18.5 (22F76),DB12C5D6-C9BD-4372-9600-,,,,,beCustomer,/mnt/data/JetsamEvent-2025-06-12-112511.docx,"
13:30 .111 4G &lt; JetsamEvent-2025-06-12-112511... n {""bug_type"":""298"",""timestamp"":""2025-06-12 11:25:11.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""DB12C5D6-C9BD-4372-9600- DF261884D0D8""} ""build"" : ""iPhone OS 18.5 (22F76)"", ""product"" : ""iPhone16,1"", ""kernel"" : ""Darwin Kernel Version 24.5.0: Tue Apr 22 20:38:43 PDT 2025; root:xnu-11417.122.4-1VRELEASE_ARM64_T8122"", ""incident"" : ""DB12C5D6-C9BD-4372-9600-DF261884D0D8"", ""crashReporterKey"" : ""ef45036d9064cec258dde03deaa004bfec1b83f7"", ""date"" : ""2025-06-12 11:25:11.91 +0700"", ""codeSigningMonitor"" : 2, ""bug_type"" : ""298"", ""timeDelta"" : 1, ""memoryStatus"" : ""compressorSize"" : 63077, ""compressions"" : 421645, ""decompressions"" : 128002, ""zoneMapCap"" : 2978332672, ""largestZone"" : ""APFS_4K_OBJS"", ""largestZoneSiz"
0,2025-06-12 12:05:19+07:00,2025-06-12 12:05:19+0700,bug_type_event,225,,,iPhone OS 18.5 (22F76),9DF88A50-4785-4E8B-88C8-894,,,,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"
12:40 .111 4G 15131' &lt; xp_amp_app_usage_dnu-2025-0... {""bug_type"":""225"",""timestamp"":""2025-06-12 12:05:19.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""9DF88A50-4785-4E8B-88C8-894 D37C3F325"") rosVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""event Version"":1,""iternicl"":""1164066737"",""topic"":""xp_amp_app_usage_dnu"",""bundleld "":""hk.com.hsbc.hsbchkmobilebanking"",""shortAppVersion"":""3.58.1"",""hardwareFa mily"":""iPhone"",""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1 .0"",""externalVersionid"":""874797000"",""storefront"":143462,""baseVersion"":1,""os"": ""i0S"",""bundleVersion"":""118655"",""eventTime"":1749704719476,""clientEventid"":"" BCFAB5BE-8FF0-4322-A163-DB7011CA6C9B"",""usageClientid"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyPro"
1,2025-06-12 12:05:19.476000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.cebbank.ebank,prior,,6AF900F5-,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"
12:40 .111 4G 15131' &lt; xp_amp_app_usage_dnu-2025-0... {""bug_type"":""225"",""timestamp"":""2025-06-12 12:05:19.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""9DF88A50-4785-4E8B-88C8-894 D37C3F325"") rosVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""event Version"":1,""iternicl"":""1164066737"",""topic"":""xp_amp_app_usage_dnu"",""bundleld "":""hk.com.hsbc.hsbchkmobilebanking"",""shortAppVersion"":""3.58.1"",""hardwareFa mily"":""iPhone"",""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1 .0"",""externalVersionid"":""874797000"",""storefront"":143462,""baseVersion"":1,""os"": ""i0S"",""bundleVersion"":""118655"",""eventTime"":1749704719476,""clientEventid"":"" BCFAB5BE-8FF0-4322-A163-DB7011CA6C9B"",""usageClientid"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyPro"
3,2025-06-12 12:05:19.476000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.hp.printer.control,prior,,6AF900F5-,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"n"":1,""os"":""i0S"",""bundleVer sion"":""12.0.5.88"",""eventTime"":1749704719476,""clientEventid"":""6830A752-252 F-4D4C-B5F6-723D4381FE76"",""usageClientid"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {),""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""iternid"":""469284907"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"":"" com.hp.printer.control"",""shortAppVersion"":""18.10.1"",""hardwareFamily"":""iPhone"", ""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalVe rsionic1"":""874622708"",""storefront"":143462,""baseVersion"":1,""os"":10S"",""bundleV ersion"":""3284"",""eventTime"":1749704719476,""clientEventid"":""1E230710-9C31- 4D9E-A580-2263BF51493E"",""usageClientid"":""6AF900"
4,2025-06-12 12:05:19.476000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,,com.czzhao.binance,prior,True,6AF900F5-,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"ersion"":1,""os"":10S"",""bundleV ersion"":""3284"",""eventTime"":1749704719476,""clientEventid"":""1E230710-9C31- 4D9E-A580-2263BF51493E"",""usageClientid"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {),""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""iternid"":""1436799971"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"": ""com.czzhao.binance"",""shortAppVersion"":""2.100.3"",""hardwareFamily"":""iPhone"", ""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalVe rsionic1"":""874745200"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundleV ersion"":""1"",""eventTime"":1749704719477,""clientEventid"":""9F6F5A0D-9D36-4D2 C-AEEE-3455E4EC269C"",""usageClientic1"":""6AF900F5- A"
7,2025-06-12 12:05:19.477000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.apple.reminders,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,""":143462,""baseVersion"":1,""os"":""i0S"",""bundleVers ion"":""25.22.0.7635197020"",""eventTime"":1749704719477,""clientEventid"":""ACE6 8E65-9CA4-4873-B76F-49DF029F6837"",""usageClientic1"":""6AF900F5- A8E4-4E0A-8314-9CABLV—"""" ""\"" 'r ties"": fl 12:40 .111 4G 15131' &lt; xp_amp_app_usage_dnu-2025-0... 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""1108187841"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"":"" com.apple.reminders"",""shortAppVersion"":""7.0"",""hardwareFamily"":""iPhone"",""ano nymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""baseVersion"":1, ""os"":""i0S"",""bundleVersion"":""2946"",""eventTime"":1749704719477,""clientEventld "":""DO5BC564-8E6A-4C32-97CB-3F9CDD3923AF"",""isSystemApp"":true,""usage Clientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""client"
6,2025-06-12 12:05:19.477000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.google.Maps,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"bundleVersion"":""197.6"",""eventTime"":1749704719477,""clientEventid"":"" A2126AC8-B7A3-43C8-92134- DDDAA32000D6"",""isSystemApp"":true,""usageClienticl"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {),""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""iternid"":""585027354"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"":"" com.google.Maps"",""shortAppVersion"":""25.22.0"",""hardwareFamily"":""iPhone"",""an onymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalVersi onid"":""875162152"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundleVers ion"":""25.22.0.7635197020"",""eventTime"":1749704719477,""clientEventid"":""ACE6 8E65-9CA4-4873-B76F-49DF029F6837"",""usageClientic1"""
9,2025-06-12 12:05:19.477000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.google.ios.youtube,prior,,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"on"":1,""os"":""i0S"",""bundleVersion"" :""2025012300"",""eventTime"":1749704719477,""clientEventld"":""E41304EE-EB7F-4C04-A5E2-06C9C52BA025"",""usageClientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {},""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""544007664"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"":"" com.google.ios.youtube"",""shortAppVersion"":""20.21.6"",""hardwareFamily"":""iPhon e"",""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""external Versionld"":""875034940"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundl eVersion"":""20.21.6"",""eventTime"":1749704719478,""clientEventld"":""7B0C2CAD-0 2B0-463E-BC28-58F4417AE596"",""usageClientld"":""6AF"
5,2025-06-12 12:05:19.477000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,,com.apple.journal,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"Version"":1,""os"":""i0S"",""bundleV ersion"":""1"",""eventTime"":1749704719477,""clientEventid"":""9F6F5A0D-9D36-4D2 C-AEEE-3455E4EC269C"",""usageClientic1"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {),""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""iternid"":""6447391597"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"": ""com.apple.journal"",""shortAppVersion"":""1.1"",""hardwareFamily"":""iPhone"",""anony mous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""baseVersion"":1,""o s"":""i0S"",""bundleVersion"":""197.6"",""eventTime"":1749704719477,""clientEventid"":"" A2126AC8-B7A3-43C8-92134- DDDAA32000D6"",""isSystemApp"":true,""usageClienticl"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clien"
8,2025-06-12 12:05:19.477000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,,com.bybit.app,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,""",""bundleVersion"":""2946"",""eventTime"":1749704719477,""clientEventld "":""DO5BC564-8E6A-4C32-97CB-3F9CDD3923AF"",""isSystemApp"":true,""usage Clientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {},""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""1488296980"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"" :""com.bybit.app"",""shortAppVersion"":""4.58.0"",""hardwareFamily"":""iPhone"",""anony mous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalVersionld "":""871987835"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundleVersion"" :""2025012300"",""eventTime"":1749704719477,""clientEventld"":""E41304EE-EB7F-4C04-A5E2-06C9C52BA025"",""usageClientld"":""6AF900F5- A"
11,2025-06-12 12:05:19.478000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,, com.apple.mobilecal,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,":1,""os"":""i0S"",""bundleVers ion"":""250528.1111"",""eventTime"":1749704719478,""clientEventld"":""38B5E216-2F 75-4D36-8332-24ABB8307E26"",""usageClientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {},""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""1108185179"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"":"" com.apple.mobilecal"",""shortAppVersion"":""1.0"",""hardwareFamily"":""iPhone"",""ano nymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""baseVersion"":1, ""os"":""i0S"",""bundleVersion"":""1"",""eventTime"":1749704719478,""clientEventld"":""3 7DE1965-9870-48C9- A195-7B87DA7E59C7"",""isSystemApp"":true,""usageClientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnl"
12,2025-06-12 12:05:19.478000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,,com.paygo24.ababank,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"""i0S"",""bundleVersion"":""1"",""eventTime"":1749704719478,""clientEventld"":""3 7DE1965-9870-48C9- A195-7B87DA7E59C7"",""isSystemApp"":true,""usageClientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {},""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""968860649"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"": ""com.paygo24.ababank"",""shortAppVersion"":""5.0.69"",""hardwareFamily"":""iPhone "",""anonymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalV ersionld"":""874912416"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundle Version"":""5.0.69.8"",""eventTime"":1749704719478,""clientEventld"":""E1A4FA63- D514-4532-9798-D7039C105E9F"",""usageClientld"":""6AF900"
10,2025-06-12 12:05:19.478000+07:00,2025-06-12 12:05:19+0700,xp_amp_app_usage_dnu,,,,,,xyz.be.customer,prior,True,,,/mnt/data/bug_type225-2025-06-12 120519 .docx,"ion"":1,""os"":""i0S"",""bundl eVersion"":""20.21.6"",""eventTime"":1749704719478,""clientEventld"":""7B0C2CAD-0 2B0-463E-BC28-58F4417AE596"",""usageClientld"":""6AF900F5- A8E4-4E0A-8314-9CAB494F81AD"",""clientOnlyProperties"": {},""timezoneOffset"":-420,""app"":""com.apple.appstored"",""rangeStartTime"":17497 01084), {""osVersion"":""18.5"",""rangeEndTime"":1749704719,""eventType"":""installs"",""eventV ersion"":1,""itemld"":""1440565902"",""topic"":""xp_amp_app_usage_dnu"",""bundleld"": ""xyz.be.customer"",""shortAppVersion"":""3.6.139"",""hardwareFamily"":""iPhone"",""an onymous"":true,""installType"":""prior"",""count"":1,""appVersion"":""1.0"",""externalVersi onld"":""875137732"",""storefront"":143462,""baseVersion"":1,""os"":""i0S"",""bundleVers ion"":""250528.1111"",""eventTime"":1749704719478,""clientEventld"":""38B5E216-2F 75-4D36-8332-24ABB8307E26"",""usageClientld"":""6AF900"
15,2025-06-13 11:31:34+07:00,2025-06-13 11:31:34+0700,bug_type_event,298,"iPhone13,2",,iPhone OS 18.5 (22F76),BB29B241-E431-4492-A71D-24DEA42B2C01,,,,,ScreenshotServicesService,/mnt/data/KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/2025-06-12-Analysis-Detalis-Python.docx,"a/extracted_files/__MACOSX/com/._duetexpertd.cpu_resource-2025-06-10-120046.ips', '/mnt/data/extracted_files/__MACOSX/com/._DASDelegateService.cpu_resource-2025-06-11-195328.ips']  duetexpertd.cpu_resource-2025-06-09-170156.ips  JetsamEvent-2025-06-12-180633.ips  com.apple.WebKit.WebContent.CaptivePortal.cpu_resource-2025-06-12-183805.ips  DASDelegateService.cpu_resource-2025-06-11-195328.ips{""bug_type"":""298"",""timestamp"":""2025-06-13 11:31:34.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""BB29B241-E431-4492-A71D-24DEA42B2C01""}{  ""build"" : ""iPhone OS 18.5 (22F76)"",  ""product"" : ""iPhone13,2"",  ""kernel"" : ""Darwin Kernel Version 24.5.0: Tue Apr 22 20:38:34 PDT 2025; root:xnu-11417.122.4~1\/RELEASE_ARM64_T8101"",  ""incident"" : ""BB29B241-E431-4492-A71D-24DEA"
16,,,bug_type_event,298,"iPhone13,2",,,,,,,,ScreenshotServicesService,/mnt/data/KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/2025-06-12-Analysis-Detalis-Python.docx,"-4492-A71D-24DEA42B2C01""}{  ""build"" : ""iPhone OS 18.5 (22F76)"",  ""product"" : ""iPhone13,2"",  ""kernel"" : ""Darwin Kernel Version 24.5.0: Tue Apr 22 20:38:34 PDT 2025; root:xnu-11417.122.4~1\/RELEASE_ARM64_T8101"",  ""incident"" : ""BB29B241-E431-4492-A71D-24DEA42B2C01"",  ""crashReporterKey"" : ""0b0d84868087e5d1e406283a358da644dc520a78"",  ""date"" : ""2025-06-13 11:31:34.15 +0700"",  ""codeSigningMonitor"" : 1,  ""bug_type"" : ""298"",  ""timeDelta"" : 22,  ""memoryStatus"" : {  ""compressorSize"" : 48167,  ""compressions"" : 2795285,  ""decompressions"" : 1943545,  ""zoneMapCap"" : 1396211712,  ""largestZone"" : ""APFS_4K_OBJS"",  ""largestZoneSize"" : 41664512,  ""pageSize"" : 16384,  ""uncompressed"" : 181856,  ""zoneMapSize"" : 247218176,  ""memoryPages"" : {    ""active"" : 65751,    ""throttled"" : 0,    ""fileBacked"" : 64861,    ""wi"
17,,,bug_type_event,298,"iPhone16,1",iPhone 15 Pro (guess),PhoneOS 18.5(22F76),,,,,,beCustomer,/mnt/data/KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/bug_type_298_2025-06-12-2.docx,"
{""bug_type"":""298"",""timestamp"":""2025-06-12 11:25:11.00+0700"",""os_version"":""PhoneOS 18.5(22F76)"",""roots_installed"":0,""in cident_id"":""DB12C5D6-C9BD-4372-9600- DF261884D0D8""){""build"": ""iPhone OS 18.5 (22F76)"",""product"": ""iPhone16,1"", ""kernel"": ""Darwin Kernel Version 24.5.0: Tue Apr 22 20:38:43 PDT 2025; root:xnu-11417.122.4-1V RELEASE_ARM64_T8122"", ""incident"" : ""DB12C5D6-C9BD-4372-9600-DF261884D0D8"",""crashReporterKey"":""ef45036d9064cec258dde03deaa004bfec1b83f7"",""date"": ""2025-06-1211:25:11.91 +0700"",""codeSigningMonitor"": 2, ""bug_type"": ""298"", ""timeDelta"": 1,""memoryStatus"":{""compressorSize"":63077,""compressions"" : 421645, ""decompressions"" : 128002,""zoneMapCap"":2978332672,""largestZone"":""APFS_4K_OBJS"",""largestZoneSize"":32718848,""pageSize"": 16384,""uncompressed"": 264643, ""zoneMapSize"": 279379968, ""m"
19,,,bug_type_event,298,"iPhone16,1",iPhone 15 Pro (guess),PhoneOS 18.5(22F76),,,,,,beCustomer,/mnt/data/KABUKI_INV_2025-06-12_OUT/2025-06-12-Analysis-Detalis-Python_EXTRACT/C-bug_type_298_2025-06-12-1.docx,"
{""bug_type"":""298"",""timestamp"":""2025-06-12 11:25:11.00+0700"",""os_version"":""PhoneOS 18.5(22F76)"",""roots_installed"":0,""in cident_id"":""DB12C5D6-C9BD-4372-9600- DF261884D0D8""){""build"": ""iPhone OS 18.5 (22F76)"",""product"": ""iPhone16,1"", ""kernel"": ""Darwin Kernel Version 24.5.0: Tue Apr 22 20:38:43 PDT 2025; root:xnu-11417.122.4-1V RELEASE_ARM64_T8122"", ""incident"" : ""DB12C5D6-C9BD-4372-9600-DF261884D0D8"",""crashReporterKey"":""ef45036d9064cec258dde03deaa004bfec1b83f7"",""date"": ""2025-06-1211:25:11.91 +0700"",""codeSigningMonitor"": 2, ""bug_type"": ""298"", ""timeDelta"": 1,""memoryStatus"":{""compressorSize"":63077,""compressions"" : 421645, ""decompressions"" : 128002,""zoneMapCap"":2978332672,""largestZone"":""APFS_4K_OBJS"",""largestZoneSize"":32718848,""pageSize"": 16384,""uncompressed"": 264643, ""zoneMapSize"": 279379968, ""m"
